service,destination,first_kg_price,add_kg_price,max_weight_kg,size_class
air,阿富汗,219.1,72.1,30,1
air,阿尔巴尼亚,161.4,57.9,20,1
air,阿尔及利亚,163.7,77.3,20,3
air,美国,158.5,95.0,31.5,3
air,东萨摩亚,160.7,95.0,31.5,3
air,安道尔,185.3,68.3,30,3
air,安哥拉,203.0,106.6,20,2
air,安圭拉,161.5,96.6,20,1
air,安提瓜和巴布达,170.5,105.6,20,3
air,阿根廷,249.8,138.5,20,3
air,亚美尼亚,170.9,61.2,20,2
air,阿松森岛,192.9,123.3,30,3
air,澳大利亚,143.8,70.0,20,3
air,奥地利,153.8,60.4,31.5,2
air,阿塞拜疆,167.3,65.0,30,2
air,亚速尔群岛和马德拉群岛,189.3,78.4,20,3
air,巴哈马群岛,169.0,93.7,20,3
air,巴林,137.7,51.5,30,1
air,孟加拉,119.3,45.5,20,1
air,巴巴多斯,160.9,95.1,20,3
air,白俄罗斯,134.8,56.3,30,3
air,比利时,210.2,51.7,30,2
air,伯里兹,174.4,99.4,25,1
air,贝宁,166.1,97.7,30,1
air,百慕大群岛,192.1,93.3,20,2
air,不丹,135.9,45.5,30,2
air,玻利维亚,252.6,151.3,20,3
air,波黑,167.4,75.8,31.5,2
air,博茨瓦纳,211.7,115.3,30,1
air,巴西,240.2,122.5,30,3
air,文莱达鲁萨兰,110.7,45.8,30,2
air,保加利亚,144.2,58.5,30,1
air,布基纳法索,196.8,106.7,30,1
air,布隆迪,217.7,112.0,30,2
air,卡奔达,203.0,106.6,20,2
air,柬埔寨,104.2,39.3,30,3
air,喀麦隆,194.4,97.2,30,1
air,加拿大,137.7,72.0,30,1
air,加那利群岛,165.9,135.0,30,3
air,佛得角,191.1,94.7,20,1
air,加罗林群岛马里亚纳群岛,160.7,95.0,31.5,3
air,开曼群岛,194.3,106.0,10,1
air,中非共和国,225.4,107.6,30,2
air,乍得,195.7,105.3,30,2
air,智利,214.5,129.2,30,1
air,圣诞岛,141.4,70.0,20,3
air,科科斯群岛洛德豪岛,141.4,70.0,20,3
air,哥伦比亚,212.7,137.6,50,2
air,科摩罗,191.7,122.1,20,1
air,刚果民主共和国,227.3,117.2,30,1
air,刚果共和国,224.0,109.8,30,3
air,库克群岛,150.0,73.8,20,3
air,哥斯达黎加,172.3,102.3,30,1
air,科特迪瓦,196.3,98.5,30,1
air,克罗地亚,155.1,70.4,30,3
